chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr2	127418682	127419226	0.93	0.95	0.92	0.91	0.94	0.93	0.89	0.96	0.91	0.94	0.97	0.10	0.97	0.90	0.96	0.96	0.96	0.93	0.93	0.94	0.95	0.66	0.93	0.94	0.96	0.96	0.96	0.90	0.94	0.93	0.96	0.93	0.97	0.96	0.94	0.90	0.91	0.94	0.93
chr2	127434368	127434590	0.90	0.94	0.91	0.77	0.88	0.92	0.78	0.96	0.93	0.97	0.97	0.95	0.96	0.60	0.97	0.95	0.89	0.96	0.96	0.97	0.96	0.72	0.92	0.94	0.96	0.97	0.95	0.94	0.95	0.93	0.97	0.96	0.98	0.97	0.94	0.94	0.13	0.96	0.95
chr2	127518243	127518722	0.96	0.96	0.95	0.91	0.87	0.87	0.91	0.93	0.26	0.91	0.90	0.96	0.96	0.97	0.95	0.95	0.97	0.97	0.93	0.97	0.95	0.91	0.93	0.98	0.96	0.94	0.95	0.94	0.95	0.97	0.96	0.95	0.95	0.78	0.96	0.96	0.96	0.96	0.95
chr2	127621103	127621385	0.88	0.92	0.74	0.87	0.89	0.94	0.82	0.94	0.87	0.95	0.95	0.96	0.96	0.88	0.90	0.90	0.91	0.94	0.91	0.94	0.94	0.59	0.88	0.86	0.82	0.84	0.19	0.88	0.90	0.93	0.96	0.92	0.96	0.96	0.94	0.95	0.93	0.97	0.97
chr2	128191684	128192171	0.95	0.95	0.87	0.91	0.95	0.91	0.89	0.91	0.91	0.09	0.87	0.97	0.96	0.95	0.95	0.94	0.97	0.97	0.94	0.96	0.95	0.90	0.96	0.97	0.96	0.97	0.96	0.93	0.93	0.95	0.96	0.93	0.97	0.92	0.95	0.96	0.96	0.96	0.95
chr2	128411167	128411479	0.94	0.95	0.87	0.88	0.92	0.93	0.88	0.96	0.89	0.89	0.95	0.97	0.98	0.95	0.28	0.74	0.69	0.93	0.97	0.97	0.94	0.70	0.87	0.92	0.96	0.94	0.90	0.92	0.95	0.96	0.96	0.96	0.97	0.98	0.90	0.96	0.94	0.91	0.90
chr2	128563955	128564302	0.93	0.93	0.81	0.84	0.92	0.88	0.80	0.91	0.81	0.93	0.76	0.93	0.99	0.92	0.91	0.84	0.83	0.95	0.05	0.91	0.88	0.62	0.88	0.91	0.96	0.96	0.88	0.84	0.91	0.96	0.96	0.96	0.94	0.88	0.92	0.98	0.93	0.92	0.94
chr2	129867544	129868221	0.88	0.90	0.84	0.71	0.85	0.91	0.68	0.93	0.73	0.96	0.96	0.94	0.97	0.91	0.94	0.90	0.92	0.94	0.95	0.06	0.66	0.64	0.84	0.90	0.94	0.94	0.89	0.89	0.93	0.94	0.95	0.93	0.97	0.97	0.94	0.94	0.92	0.90	0.82
chr2	131058963	131059490	0.91	0.93	0.88	0.89	0.94	0.92	0.85	0.94	0.80	0.07	0.88	0.97	0.97	0.96	0.95	0.95	0.97	0.96	0.96	0.95	0.95	0.85	0.96	0.97	0.97	0.96	0.94	0.89	0.92	0.95	0.97	0.96	0.85	0.94	0.98	0.97	0.94	0.96	0.94
chr2	134440457	134440845	0.95	0.96	0.94	0.91	0.89	0.95	0.91	0.97	0.94	0.96	0.96	0.98	0.87	0.08	0.87	0.93	0.93	0.97	0.95	0.96	0.97	0.69	0.96	0.97	0.97	0.96	0.97	0.94	0.96	0.97	0.96	0.96	0.98	0.97	0.97	0.95	0.96	0.96	0.96
chr2	134863518	134863791	0.93	0.94	0.91	0.90	0.88	0.94	0.89	0.96	0.84	0.95	0.96	0.95	0.96	0.96	0.97	0.96	0.97	0.97	0.94	0.97	0.96	0.65	0.90	0.87	0.91	0.91	0.92	0.94	0.95	0.95	0.95	0.96	0.67	0.23	0.96	0.94	0.96	0.96	0.96
chr2	135450074	135450318	0.95	0.92	0.80	0.85	0.92	0.92	0.80	0.95	0.73	0.94	0.87	0.97	0.95	0.95	0.11	0.07	0.86	0.97	0.84	0.98	0.95	0.66	0.91	0.97	0.96	0.96	0.97	0.94	0.92	0.95	0.89	0.93	0.96	0.97	0.94	0.94	0.92	0.95	0.91
chr2	135610421	135610924	0.95	0.92	0.93	0.94	0.96	0.95	0.90	0.96	0.91	0.58	0.77	0.97	0.13	0.94	0.87	0.94	0.94	0.94	0.94	0.54	0.74	0.75	0.96	0.98	0.98	0.98	0.96	0.87	0.92	0.94	0.96	0.96	0.91	0.92	0.96	0.78	0.60	0.96	0.97
chr2	135963947	135964168	0.95	0.94	0.90	0.88	0.91	0.90	0.83	0.91	0.93	0.96	0.97	0.98	0.90	0.96	0.89	0.84	0.96	0.97	0.96	0.03	0.53	0.84	0.97	0.96	0.97	0.98	0.98	0.79	0.83	0.97	0.94	0.75	0.97	0.97	0.97	0.93	0.96	0.97	0.97
chr2	136239315	136240025	0.96	0.95	0.59	0.94	0.90	0.92	0.84	0.99	0.87	0.97	0.96	0.91	0.98	0.90	0.96	0.95	0.95	0.92	0.89	0.97	0.71	0.72	0.97	0.98	0.93	0.98	0.15	0.90	0.95	0.94	0.95	0.92	0.98	0.97	0.96	0.95	0.95	0.92	0.92
chr2	143156097	143156298	0.90	0.88	0.95	0.88	0.89	0.67	0.74	0.94	0.69	0.94	0.80	0.90	0.97	0.77	0.97	0.94	0.90	0.96	0.94	0.93	0.94	0.80	0.96	0.92	0.77	0.13	0.96	0.90	0.91	0.94	0.97	0.92	0.95	0.96	0.96	0.97	0.96	0.90	0.92
chr2	143282906	143283250	0.92	0.89	0.93	0.83	0.87	0.88	0.80	0.96	0.74	0.95	0.85	0.70	0.15	0.42	0.65	0.65	0.68	0.93	0.96	0.96	0.92	0.74	0.96	0.97	0.97	0.96	0.95	0.62	0.73	0.91	0.79	0.90	0.90	0.82	0.96	0.04	0.87	0.88	0.88
chr2	143745897	143746145	0.62	0.63	0.86	0.71	0.88	0.67	0.68	0.94	0.46	0.91	0.90	0.74	0.84	0.73	0.88	0.91	0.75	0.89	0.92	0.87	0.88	0.60	0.96	0.96	0.85	0.00	0.92	0.74	0.76	0.80	0.90	0.83	0.66	0.92	0.92	0.93	0.86	0.64	0.71
chr2	143957542	143957922	0.93	0.95	0.95	0.92	0.94	0.93	0.94	0.98	0.93	0.85	0.77	0.96	0.97	0.96	0.48	0.02	0.66	0.63	0.82	0.95	0.91	0.70	0.94	0.96	0.97	0.98	0.95	0.91	0.80	0.97	0.97	0.97	0.98	0.98	0.97	0.95	0.93	0.96	0.96
chr2	144216717	144217453	0.90	0.91	0.92	0.94	0.90	0.97	0.89	0.98	0.94	0.91	0.92	0.97	0.96	0.98	0.97	0.97	0.95	0.97	0.97	0.19	0.57	0.86	0.95	0.96	0.97	0.98	0.96	0.95	0.95	0.95	0.93	0.90	0.89	0.92	0.98	0.91	0.97	0.98	0.96
chr2	144562291	144562645	0.93	0.95	0.62	0.91	0.93	0.94	0.90	0.97	0.93	0.95	0.97	0.89	0.96	0.92	0.93	0.93	0.87	0.97	0.95	0.97	0.96	0.81	0.92	0.92	0.74	0.97	0.03	0.88	0.94	0.97	0.98	0.95	0.96	0.96	0.95	0.93	0.93	0.95	0.94
chr2	144598378	144598958	0.92	0.96	0.92	0.88	0.96	0.92	0.89	0.95	0.75	0.97	0.97	0.76	0.96	0.82	0.96	0.94	0.88	0.95	0.95	0.98	0.91	0.79	0.69	0.07	0.94	0.97	0.77	0.89	0.93	0.98	0.96	0.92	0.97	0.96	0.89	0.93	0.89	0.82	0.78
chr2	144650613	144651050	0.60	0.88	0.82	0.74	0.29	0.63	0.82	0.95	0.75	0.96	0.95	0.84	0.97	0.88	0.94	0.94	0.95	0.95	0.94	0.98	0.93	0.79	0.93	0.98	0.96	0.95	0.97	0.93	0.94	0.96	0.96	0.94	0.95	0.97	0.96	0.96	0.90	0.90	0.90
chr2	145524379	145524648	0.76	0.83	0.74	0.66	0.75	0.83	0.71	0.94	0.81	0.97	0.95	0.77	0.93	0.80	0.85	0.90	0.81	0.94	0.94	0.96	0.93	0.68	0.82	0.93	0.94	0.97	0.86	0.86	0.88	0.82	0.91	0.74	0.87	0.96	0.06	0.91	0.90	0.77	0.76
chr2	145623474	145623707	0.86	0.88	0.88	0.88	0.78	0.91	0.86	0.96	0.06	0.97	0.97	0.85	0.90	0.84	0.84	0.88	0.84	0.96	0.95	0.93	0.74	0.67	0.85	0.92	0.95	0.94	0.94	0.89	0.93	0.89	0.90	0.89	0.76	0.97	0.83	0.93	0.94	0.84	0.86
chr2	148065948	148066237	0.94	0.94	0.93	0.87	0.95	0.93	0.84	0.86	0.88	0.97	0.94	0.98	0.97	0.96	0.98	0.97	0.98	0.97	0.96	0.97	0.95	0.87	0.96	0.96	0.97	0.98	0.97	0.29	0.10	0.59	0.78	0.88	0.97	0.92	0.93	0.96	0.97	0.96	0.97
chr2	148543085	148543429	0.86	0.87	0.85	0.70	0.89	0.86	0.67	0.97	0.79	0.96	0.98	0.91	0.95	0.89	0.88	0.91	0.88	0.87	0.95	0.85	0.90	0.00	0.93	0.78	0.82	0.75	0.86	0.86	0.87	0.92	0.93	0.91	0.93	0.96	0.94	0.89	0.93	0.92	0.87
chr2	148654581	148655148	0.89	0.89	0.86	0.92	0.88	0.79	0.79	0.91	0.91	0.76	0.93	0.96	0.09	0.72	0.63	0.50	0.83	0.89	0.97	0.64	0.83	0.88	0.95	0.91	0.96	0.92	0.95	0.89	0.94	0.94	0.89	0.94	0.93	0.95	0.96	0.71	0.95	0.95	0.96
chr2	149568124	149568763	0.90	0.95	0.94	0.94	0.93	0.81	0.90	0.96	0.92	0.97	0.94	0.57	0.97	0.94	0.94	0.92	0.96	0.97	0.95	0.95	0.91	0.82	0.96	0.96	0.76	0.01	0.96	0.94	0.95	0.94	0.96	0.94	0.98	0.94	0.89	0.93	0.96	0.96	0.96
chr2	150089537	150089813	0.96	0.94	0.86	0.85	0.90	0.93	0.89	0.81	0.88	0.94	0.95	0.96	0.19	0.79	0.80	0.85	0.86	0.94	0.95	0.95	0.95	0.58	0.84	0.91	0.93	0.92	0.85	0.87	0.95	0.92	0.97	0.96	0.97	0.97	0.90	0.83	0.93	0.94	0.95
chr2	150167219	150167448	0.98	0.95	0.90	0.95	0.93	0.96	0.94	0.98	0.93	0.90	0.94	0.74	0.98	0.98	0.99	0.97	0.98	0.94	0.95	0.97	0.97	0.68	0.91	0.94	0.94	0.93	0.89	0.88	0.93	0.57	0.59	0.17	0.91	0.74	0.89	0.93	0.97	0.97	0.97
chr2	151003009	151003370	0.85	0.90	0.89	0.89	0.78	0.69	0.87	0.96	0.93	0.96	0.96	0.95	0.97	0.79	0.98	0.96	0.97	0.97	0.95	0.97	0.97	0.64	0.94	0.93	0.96	0.94	0.97	0.06	0.68	0.96	0.96	0.97	0.96	0.85	0.96	0.97	0.93	0.94	0.93
chr2	151439153	151439510	0.94	0.94	0.91	0.91	0.92	0.95	0.91	0.96	0.79	0.95	0.96	0.97	0.97	0.93	0.94	0.96	0.96	0.97	0.95	0.96	0.94	0.92	0.96	0.98	0.97	0.97	0.96	0.95	0.93	0.92	0.94	0.94	0.97	0.94	0.82	0.93	0.95	0.02	0.48
chr2	151779434	151779888	0.93	0.93	0.92	0.93	0.91	0.94	0.90	0.95	0.94	0.96	0.96	0.96	0.96	0.92	0.93	0.92	0.83	0.96	0.95	0.97	0.97	0.86	0.97	0.97	0.98	0.98	0.98	0.90	0.89	0.80	0.75	0.14	0.97	0.98	0.95	0.90	0.86	0.96	0.95
chr2	152763303	152763699	0.83	0.90	0.82	0.19	0.94	0.83	0.53	0.93	0.91	0.89	0.89	0.93	0.95	0.92	0.91	0.95	0.95	0.93	0.92	0.65	0.83	0.85	0.93	0.96	0.95	0.93	0.89	0.88	0.87	0.92	0.95	0.95	0.97	0.96	0.95	0.88	0.91	0.94	0.92
chr2	156135009	156135263	0.81	0.89	0.86	0.71	0.82	0.81	0.65	0.94	0.59	0.90	0.96	0.90	0.10	0.58	0.79	0.85	0.82	0.90	0.96	0.93	0.95	0.67	0.93	0.96	0.96	0.96	0.93	0.88	0.96	0.97	0.92	0.94	0.95	0.97	0.96	0.03	0.96	0.94	0.92
chr2	157437528	157438006	0.91	0.94	0.83	0.88	0.86	0.85	0.80	0.98	0.86	0.95	0.80	0.94	0.98	0.98	0.97	0.98	0.98	0.96	0.96	0.97	0.96	0.72	0.21	0.78	0.93	0.96	0.87	0.89	0.92	0.98	0.97	0.93	0.95	0.96	0.98	0.94	0.96	0.92	0.95
chr2	157471345	157471785	0.86	0.90	0.81	0.84	0.94	0.89	0.83	0.98	0.87	0.96	0.97	0.95	0.97	0.98	0.95	0.96	0.97	0.97	0.95	0.97	0.95	0.58	0.88	0.68	0.83	0.81	0.72	0.89	0.91	0.96	0.96	0.87	0.90	0.96	0.71	0.96	0.04	0.98	0.98
chr2	157597460	157597731	0.03	0.03	0.04	0.03	0.06	0.06	0.06	0.02	0.03	0.10	0.21	0.04	0.02	0.02	0.02	0.07	0.04	0.03	0.05	0.05	0.06	0.02	0.07	0.05	0.05	0.02	0.04	0.03	0.05	0.02	0.03	0.05	0.03	0.02	0.03	0.02	0.05	0.95	0.41
chr2	159229659	159230060	0.92	0.94	0.90	0.83	0.92	0.90	0.88	0.71	0.75	0.92	0.94	0.95	0.91	0.89	0.92	0.93	0.92	0.95	0.79	0.94	0.96	0.77	0.93	0.83	0.94	0.94	0.94	0.93	0.93	0.76	0.95	0.95	0.93	0.91	0.08	0.94	0.92	0.95	0.95
chr2	159230549	159230986	0.95	0.95	0.90	0.85	0.89	0.79	0.88	0.80	0.75	0.15	0.91	0.97	0.96	0.96	0.96	0.97	0.97	0.97	0.94	0.97	0.97	0.83	0.95	0.97	0.98	0.98	0.97	0.94	0.95	0.94	0.97	0.96	0.97	0.94	0.85	0.94	0.96	0.96	0.97
chr2	160649767	160650026	0.96	0.97	0.91	0.95	0.98	0.93	0.93	0.95	0.86	0.95	0.88	0.96	0.97	0.92	0.96	0.98	0.94	0.84	0.10	0.88	0.92	0.67	0.93	0.93	0.97	0.97	0.89	0.86	0.93	0.68	0.95	0.89	0.92	0.67	0.96	0.96	0.96	0.94	0.92
chr2	162150107	162150585	0.94	0.90	0.87	0.76	0.82	0.83	0.80	0.70	0.81	0.92	0.93	0.79	0.87	0.69	0.92	0.93	0.04	0.85	0.84	0.81	0.78	0.67	0.93	0.94	0.96	0.96	0.94	0.86	0.83	0.89	0.75	0.79	0.88	0.93	0.94	0.80	0.78	0.93	0.94
chr2	162206412	162206846	0.93	0.93	0.88	0.93	0.92	0.91	0.91	0.95	0.89	0.94	0.96	0.91	0.95	0.81	0.87	0.93	0.14	0.94	0.94	0.89	0.95	0.64	0.90	0.92	0.95	0.96	0.95	0.92	0.88	0.91	0.92	0.85	0.94	0.96	0.95	0.97	0.90	0.90	0.93
chr2	162916013	162916282	0.86	0.88	0.87	0.71	0.80	0.92	0.71	0.96	0.89	0.96	0.96	0.91	0.96	0.81	0.93	0.94	0.92	0.93	0.94	0.91	0.91	0.58	0.87	0.90	0.94	0.96	0.87	0.89	0.84	0.93	0.91	0.83	0.86	0.91	0.96	0.90	0.89	0.67	0.03
chr2	163572142	163572396	0.93	0.93	0.88	0.79	0.88	0.90	0.76	0.98	0.85	0.97	0.97	0.85	0.93	0.95	0.95	0.94	0.94	0.96	0.96	0.97	0.91	0.54	0.85	0.92	0.92	0.92	0.86	0.80	0.82	0.93	0.96	0.83	0.96	0.97	0.92	0.07	0.87	0.78	0.83
chr2	164875370	164875780	0.92	0.96	0.93	0.88	0.95	0.93	0.90	0.97	0.90	0.97	0.96	0.16	0.98	0.91	0.97	0.97	0.97	0.94	0.96	0.97	0.97	0.73	0.92	0.95	0.97	0.96	0.97	0.92	0.94	0.96	0.97	0.96	0.97	0.96	0.97	0.95	0.97	0.95	0.93
chr2	165453887	165454087	0.88	0.90	0.85	0.10	0.69	0.85	0.59	0.87	0.80	0.95	0.83	0.82	0.96	0.83	0.96	0.97	0.98	0.97	0.94	0.96	0.94	0.59	0.82	0.60	0.94	0.95	0.91	0.88	0.92	0.94	0.97	0.87	0.96	0.94	0.96	0.94	0.95	0.95	0.95
chr2	167852293	167852564	0.81	0.81	0.86	0.06	0.81	0.81	0.48	0.83	0.76	0.96	0.94	0.86	0.97	0.79	0.55	0.68	0.58	0.94	0.94	0.95	0.97	0.49	0.89	0.93	0.92	0.92	0.90	0.67	0.86	0.93	0.93	0.86	0.93	0.97	0.91	0.95	0.81	0.95	0.93
chr2	168223337	168223505	0.88	0.94	0.86	0.85	0.92	0.64	0.90	0.89	0.63	0.93	0.90	0.85	0.93	0.91	0.92	0.90	0.92	0.93	0.95	0.95	0.83	0.59	0.94	0.91	0.11	0.07	0.91	0.93	0.83	0.64	0.94	0.86	0.95	0.92	0.78	0.70	0.93	0.85	0.76
chr2	168459574	168460319	0.96	0.96	0.93	0.95	0.95	0.94	0.89	0.86	0.90	0.97	0.69	0.98	0.98	0.98	0.95	0.95	0.96	0.98	0.95	0.99	0.84	0.66	0.94	0.91	0.91	0.88	0.94	0.89	0.96	0.98	0.95	0.91	0.87	0.93	0.97	0.89	0.77	0.55	0.04
chr2	169547862	169548453	0.92	0.82	0.92	0.92	0.94	0.83	0.90	0.96	0.92	0.95	0.96	0.97	0.98	0.96	0.96	0.98	0.98	0.98	0.97	0.33	0.86	0.82	0.96	0.97	0.96	0.96	0.98	0.90	0.87	0.25	0.88	0.95	0.97	0.96	0.96	0.97	0.97	0.97	0.97
chr2	170230101	170230371	0.87	0.91	0.84	0.71	0.77	0.86	0.71	0.96	0.83	0.94	0.94	0.90	0.06	0.73	0.69	0.83	0.91	0.91	0.92	0.96	0.93	0.77	0.84	0.92	0.93	0.95	0.89	0.82	0.84	0.88	0.95	0.93	0.90	0.92	0.52	0.29	0.92	0.91	0.92
chr2	170433677	170434106	0.71	0.74	0.77	0.12	0.66	0.85	0.31	0.81	0.55	0.92	0.86	0.93	0.92	0.75	0.90	0.91	0.90	0.94	0.94	0.89	0.93	0.55	0.92	0.95	0.93	0.94	0.91	0.84	0.92	0.94	0.91	0.90	0.94	0.93	0.91	0.73	0.87	0.91	0.88
chr2	170456653	170456879	0.95	0.94	0.89	0.78	0.87	0.91	0.70	0.97	0.74	0.96	0.97	0.95	0.88	0.71	0.04	0.03	0.89	0.93	0.96	0.96	0.96	0.62	0.93	0.96	0.95	0.96	0.93	0.95	0.95	0.93	0.96	0.94	0.97	0.98	0.95	0.61	0.95	0.95	0.97
chr2	170473266	170473445	0.93	0.93	0.87	0.70	0.83	0.94	0.68	0.88	0.77	0.96	0.96	0.95	0.98	0.77	0.92	0.94	0.90	0.96	0.96	0.96	0.96	0.64	0.84	0.92	0.95	0.96	0.88	0.90	0.92	0.96	0.96	0.96	0.87	0.88	0.95	0.32	0.84	0.78	0.09
chr2	170926578	170926754	0.93	0.93	0.89	0.83	0.90	0.92	0.84	0.95	0.86	0.94	0.96	0.97	0.93	0.94	0.87	0.91	0.91	0.96	0.94	0.88	0.85	0.76	0.95	0.96	0.96	0.97	0.93	0.88	0.92	0.95	0.95	0.92	0.97	0.96	0.96	0.06	0.95	0.94	0.96
chr2	170977788	170978115	0.91	0.93	0.91	0.88	0.90	0.90	0.89	0.97	0.92	0.95	0.97	0.95	0.94	0.89	0.95	0.96	0.94	0.97	0.96	0.97	0.94	0.06	0.94	0.95	0.97	0.96	0.95	0.94	0.93	0.94	0.96	0.92	0.80	0.94	0.96	0.95	0.92	0.93	0.94
chr2	171336501	171337113	0.95	0.96	0.75	0.96	0.94	0.95	0.94	0.98	0.95	0.96	0.96	0.97	0.97	0.97	0.97	0.98	0.97	0.97	0.96	0.98	0.96	0.82	0.95	0.95	0.89	0.93	0.22	0.97	0.89	0.98	0.98	0.97	0.97	0.96	0.97	0.96	0.97	0.97	0.97
chr2	171747383	171747875	0.89	0.91	0.84	0.90	0.87	0.92	0.83	0.93	0.87	0.14	0.83	0.95	0.81	0.93	0.92	0.91	0.93	0.91	0.93	0.82	0.31	0.88	0.93	0.96	0.95	0.93	0.96	0.90	0.92	0.93	0.91	0.93	0.91	0.88	0.93	0.92	0.94	0.93	0.90
chr2	171786984	171787265	0.93	0.93	0.95	0.93	0.95	0.87	0.92	0.98	0.92	0.94	0.97	0.85	0.94	0.88	0.76	0.69	0.86	0.98	0.93	0.97	0.94	0.60	0.96	0.93	0.76	0.68	0.94	0.96	0.94	0.89	0.88	0.96	0.86	0.95	0.91	0.42	0.05	0.94	0.97
chr2	171897008	171897465	0.82	0.88	0.88	0.81	0.84	0.84	0.79	0.95	0.17	0.93	0.93	0.89	0.91	0.87	0.92	0.94	0.90	0.95	0.93	0.95	0.94	0.69	0.93	0.95	0.94	0.95	0.93	0.91	0.92	0.94	0.95	0.93	0.92	0.84	0.94	0.91	0.93	0.88	0.80
chr2	172612137	172612688	0.82	0.82	0.69	0.53	0.84	0.83	0.46	0.95	0.87	0.94	0.96	0.90	0.94	0.92	0.03	0.49	0.14	0.95	0.95	0.97	0.94	0.79	0.96	0.98	0.97	0.97	0.97	0.75	0.94	0.94	0.90	0.85	0.97	0.98	0.94	0.94	0.93	0.88	0.81
chr2	172856973	172857470	0.94	0.91	0.88	0.92	0.93	0.93	0.87	0.98	0.96	0.95	0.95	0.97	0.92	0.88	0.97	0.97	0.98	0.96	0.92	0.26	0.84	0.70	0.90	0.93	0.96	0.95	0.91	0.92	0.96	0.97	0.98	0.92	0.95	0.95	0.95	0.91	0.97	0.94	0.88
chr2	173010477	173011165	0.76	0.79	0.73	0.73	0.22	0.79	0.66	0.91	0.68	0.94	0.90	0.94	0.95	0.85	0.95	0.94	0.94	0.89	0.92	0.95	0.91	0.66	0.84	0.88	0.92	0.91	0.78	0.91	0.90	0.94	0.93	0.93	0.96	0.95	0.93	0.95	0.92	0.92	0.89
chr2	173709415	173709680	0.95	0.94	0.93	0.86	0.95	0.45	0.79	0.98	0.90	0.97	0.96	0.96	0.97	0.94	0.96	0.95	0.95	0.97	0.95	0.96	0.97	0.77	0.93	0.96	0.96	0.97	0.95	0.94	0.98	0.97	0.98	0.97	0.98	0.97	0.97	0.96	0.97	0.65	0.03
chr2	173955386	173955695	0.93	0.94	0.92	0.93	0.91	0.90	0.92	0.91	0.93	0.92	0.96	0.89	0.88	0.84	0.88	0.91	0.92	0.96	0.95	0.97	0.95	0.91	0.94	0.95	0.96	0.66	0.95	0.93	0.95	0.95	0.96	0.94	0.80	0.91	0.95	0.21	0.93	0.95	0.93
chr2	174330946	174331314	0.45	0.15	0.14	0.14	0.86	0.34	0.08	0.06	0.09	0.10	0.17	0.11	0.09	0.14	0.05	0.08	0.07	0.08	0.10	0.08	0.20	0.08	0.20	0.19	0.13	0.13	0.17	0.17	0.30	0.21	0.25	0.17	0.25	0.20	0.14	0.12	0.12	0.24	0.18
chr2	174331470	174331833	0.42	0.15	0.11	0.16	0.81	0.41	0.15	0.05	0.12	0.10	0.16	0.09	0.10	0.14	0.06	0.08	0.07	0.09	0.10	0.09	0.08	0.04	0.15	0.11	0.09	0.08	0.13	0.27	0.29	0.27	0.26	0.16	0.27	0.33	0.14	0.05	0.12	0.10	0.09
chr2	174343214	174343431	0.24	0.15	0.12	0.16	0.85	0.48	0.22	0.09	0.07	0.20	0.21	0.13	0.17	0.22	0.11	0.14	0.16	0.15	0.14	0.13	0.13	0.03	0.10	0.09	0.06	0.05	0.06	0.13	0.13	0.15	0.32	0.05	0.22	0.37	0.19	0.09	0.08	0.05	0.02
chr2	174343759	174343921	0.22	0.10	0.13	0.11	0.81	0.33	0.15	0.03	0.07	0.10	0.14	0.11	0.12	0.13	0.05	0.09	0.07	0.10	0.08	0.07	0.21	0.03	0.11	0.06	0.06	0.05	0.11	0.06	0.14	0.15	0.26	0.18	0.28	0.32	0.14	0.05	0.09	0.04	0.03
chr2	174489587	174489781	0.95	0.94	0.78	0.90	0.93	0.93	0.90	0.97	0.91	0.96	0.96	0.95	0.97	0.93	0.95	0.93	0.95	0.95	0.95	0.96	0.95	0.78	0.09	0.40	0.91	0.97	0.52	0.87	0.95	0.98	0.96	0.95	0.96	0.97	0.95	0.93	0.95	0.96	0.96
chr2	174490201	174490486	0.78	0.70	0.61	0.78	0.83	0.79	0.73	0.92	0.74	0.88	0.93	0.90	0.92	0.84	0.85	0.85	0.82	0.92	0.90	0.92	0.74	0.65	0.02	0.18	0.75	0.79	0.72	0.90	0.90	0.85	0.82	0.85	0.93	0.92	0.68	0.90	0.81	0.91	0.92
chr2	175088270	175088629	0.91	0.93	0.92	0.90	0.88	0.90	0.87	0.95	0.81	0.93	0.94	0.96	0.93	0.90	0.06	0.26	0.79	0.68	0.95	0.93	0.87	0.82	0.95	0.96	0.97	0.97	0.96	0.89	0.92	0.93	0.82	0.90	0.95	0.94	0.95	0.91	0.91	0.92	0.82
chr2	176122277	176122839	0.01	0.04	0.21	0.05	0.03	0.03	0.07	0.03	0.02	0.04	0.03	0.09	0.07	0.06	0.05	0.08	0.06	0.01	0.07	0.05	0.11	0.02	0.12	0.06	0.05	0.03	0.18	0.04	0.12	0.09	0.86	0.80	0.14	0.08	0.12	0.07	0.09	0.02	0.10
chr2	176122950	176123400	0.01	0.03	0.23	0.03	0.01	0.04	0.05	0.01	0.03	0.03	0.03	0.05	0.03	0.02	0.02	0.05	0.04	0.01	0.04	0.03	0.08	0.01	0.10	0.04	0.03	0.02	0.15	0.03	0.06	0.04	0.85	0.84	0.10	0.04	0.06	0.03	0.06	0.01	0.08
chr2	176123417	176123702	0.05	0.06	0.24	0.04	0.16	0.17	0.24	0.02	0.03	0.05	0.05	0.05	0.05	0.03	0.03	0.06	0.05	0.03	0.06	0.08	0.11	0.02	0.09	0.05	0.05	0.03	0.13	0.04	0.07	0.06	0.79	0.76	0.11	0.09	0.07	0.06	0.05	0.04	0.14
chr2	177597223	177597630	0.83	0.87	0.82	0.51	0.89	0.95	0.65	0.90	0.75	0.95	0.91	0.89	0.07	0.77	0.78	0.82	0.83	0.78	0.86	0.67	0.49	0.67	0.87	0.92	0.95	0.95	0.91	0.77	0.76	0.86	0.81	0.65	0.76	0.68	0.89	0.87	0.93	0.96	0.85
chr2	178071903	178072097	0.93	0.89	0.89	0.85	0.90	0.91	0.89	0.89	0.87	0.95	0.96	0.95	0.84	0.15	0.90	0.90	0.94	0.96	0.97	0.95	0.95	0.72	0.93	0.95	0.96	0.96	0.95	0.93	0.92	0.95	0.96	0.90	0.97	0.92	0.94	0.91	0.96	0.96	0.94
chr2	178438694	178438886	0.93	0.93	0.91	0.85	0.88	0.90	0.87	0.94	0.84	0.94	0.90	0.97	0.95	0.92	0.93	0.92	0.94	0.94	0.94	0.93	0.80	0.88	0.96	0.96	0.97	0.97	0.96	0.45	0.84	0.92	0.27	0.84	0.76	0.89	0.95	0.93	0.94	0.94	0.95
chr2	178628967	178629706	0.89	0.90	0.88	0.77	0.88	0.43	0.78	0.07	0.80	0.95	0.95	0.88	0.96	0.92	0.93	0.95	0.94	0.94	0.80	0.93	0.91	0.68	0.92	0.92	0.94	0.96	0.93	0.90	0.89	0.93	0.92	0.86	0.92	0.91	0.92	0.94	0.94	0.91	0.95
